0,42,42.1,42.2,42.3,42.4,42.5,42.7,42.9,43.1,43.3,43.5,43.7,43.9,44.1,44.3,44.5,44.8,45.1,45.4,45.7,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
1,11.4,11.44,11.48,11.52,11.56,11.6,11.68,11.76,11.84,11.92,12,12.08,12.16,12.24,12.32,12.4,12.52,12.64,12.76,12.88,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2,11,11.33,11.65,11.98,12.3,12.63,13.28,13.93,14.58,15.23,15.88,16.53,17.18,17.83,18.48,19.13,20.1,21.08,22.05,23.03,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
3,2.38,2.39,2.4,2.41,2.42,2.43,2.44,2.45,2.5,2.55,2.6,2.65,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
4,21,21.48,21.95,22.43,22.9,23.38,24.33,25.28,26.23,27.18,28.13,29.08,30.03,30.98,31.93,32.88,34.3,35.73,37.15,38.58,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,3.12,3.13,3.14,3.15,3.16,3.17,3.18,3.19,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.7,3.8,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,39,39.08,39.15,39.23,39.3,39.38,39.53,39.68,39.83,39.98,40.13,40.28,40.43,40.58,40.73,40.88,41.1,41.33,41.55,41.78,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
7,10.9,10.94,10.98,11.02,11.06,11.1,11.18,11.26,11.34,11.42,11.5,11.58,11.66,11.74,11.82,11.9,12.02,12.14,12.26,12.38,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
8,50,50.13,50.25,50.38,50.5,50.63,50.88,51.13,51.38,51.63,51.88,52.13,52.38,52.63,52.88,53.13,53.5,53.88,54.25,54.63,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
9,13.75,13.78,13.81,13.85,13.88,13.91,13.97,14.03,14.1,14.16,14.22,14.28,14.34,14.41,14.47,14.53,14.62,14.72,14.81,14.91,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,59,59.15,59.3,59.45,59.6,59.75,60.05,60.35,60.65,60.95,61.25,61.55,61.85,62.15,62.45,62.75,63.2,63.65,64.1,64.55,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
11,15,15.13,15.25,15.38,15.5,15.63,15.88,16.13,16.38,16.63,16.88,17.13,17.38,17.63,17.88,18.13,18.5,18.88,19.25,19.63,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
12,2,2.08,2.15,2.23,2.3,2.38,2.53,2.68,2.83,2.98,3.13,3.28,3.43,3.58,3.73,3.88,4.1,4.33,4.55,4.78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,0.04,13.5,13.52,13.55,13.57,13.6,13.65,13.7,13.76,13.81,13.86,13.91,13.96,14.01,14.06,14.11,14.19,14.27,14.34,14.42,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
14,58,58.1,58.2,58.3,58.4,58.5,58.7,58.9,59.1,59.3,59.5,59.7,59.9,60.1,60.3,60.5,60.8,61.1,61.4,61.7,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
15,17.5,17.54,17.58,17.61,17.65,17.69,17.76,17.84,17.91,17.99,18.06,18.14,18.21,18.29,18.36,18.44,18.55,18.66,18.78,18.89,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
16,61,61.15,61.3,61.45,61.6,61.75,62.05,62.35,62.65,62.95,63.25,63.55,63.85,64.15,64.45,64.75,65.2,65.65,66.1,66.55,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
17,18.5,18.54,18.58,18.61,18.65,18.69,18.76,18.84,18.91,18.99,19.06,19.14,19.21,19.29,19.36,19.44,19.55,19.66,19.78,19.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
18,8,8.25,8.5,8.75,9,9.25,9.75,10.25,10.75,11.25,11.75,12.25,12.75,13.25,13.75,14.25,15,15.75,16.5,17.25,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2,1.4,1.8,2.2,2.6,3,3.4,3.8,4.2,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,10,10.38,10.75,11.13,11.5,11.88,12.63,13.38,14.13,14.88,15.63,16.38,17.13,17.88,18.63,19.38,20.5,21.63,22.75,23.88,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
21,2.63,2.64,2.65,2.66,2.67,2.68,2.69,2.7,2.71,2.72,2.73,2.8,2.9,3,3.1,3.2,3.31,3.42,3.53,3.64,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
22,60,60.1,60.2,60.3,60.4,60.5,60.7,60.9,61.1,61.3,61.5,61.7,61.9,62.1,62.3,62.5,62.8,63.1,63.4,63.7,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
23,17.75,17.81,17.86,17.92,17.97,18.03,18.14,18.25,18.37,18.48,18.59,18.7,18.82,18.93,19.05,19.16,19.33,19.5,19.66,19.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,59,59.15,59.3,59.45,59.6,59.75,60.05,60.35,60.65,60.95,61.25,61.55,61.85,62.15,62.45,62.75,63.2,63.65,64.1,64.55,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
25,17.25,17.32,17.39,17.45,17.52,17.59,17.73,17.87,18,18.14,18.28,18.42,18.56,18.69,18.83,18.97,19.18,19.38,19.59,19.79,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,46,46.28,46.55,46.83,47.1,47.38,47.93,48.48,49.03,49.58,50.13,50.68,51.23,51.78,52.33,52.88,53.7,54.53,55.35,56.18,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
27,9,9.23,9.46,9.7,9.93,10.16,10.62,11.08,11.55,12.01,12.47,16,16.25,16.5,16.75,17,17.25,17.5,17.75,18,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25,18.25
28,35,35.5,36,36.5,37,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,49,50.5,52,53.5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
29,9,9.05,9.1,9.15,9.2,9.25,9.35,9.45,9.55,9.65,9.75,9.85,9.95,10.05,10.15,10.25,10.4,10.55,10.7,10.85,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
30,65,65.15,65.3,65.45,65.6,65.75,66.05,66.35,66.65,66.95,67.25,67.55,67.85,68.15,68.45,68.75,69.2,69.65,70.1,70.55,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
